cik,tic,Shortname,Longname,Sector,Industry,Stock_Change%,Year,Sentiment_Score
18230.0,CAT,"Caterpillar, Inc.",Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,-1.1053046422688009,2022,-0.0577593520283699
19617.0,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,-15.488674182803209,2022,-0.7135519981384277
93410.0,CVX,Chevron Corporation,Chevron Corporation,Energy,Oil & Gas Integrated,59.23054280190245,2022,-0.7680560350418091
313927.0,CHD,"Church & Dwight Company, Inc.","Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,4.394175204714745,2022,0.1386700570583343
723254.0,CTAS,Cintas Corporation,Cintas Corporation,Industrials,Specialty Business Services,7.808259027961584,2022,-0.1190372705459594
21076.0,CLX,Clorox Company (The),The Clorox Company,Consumer Defensive,Household & Personal Products,-16.031963913133417,2022,0.0
21344.0,KO,Coca-Cola Company (The),The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,17.47718726898968,2022,-0.7696201801300049
21665.0,CL,Colgate-Palmolive Company,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,0.0987608753015401,2022,-0.3006649613380432
315293.0,AON,Aon plc,Aon plc,Financial Services,Insurance Brokers,12.201580889950536,2022,-0.8765920400619507
1166691.0,CMCSA,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,-24.92623327283937,2022,-0.3267476856708526
831001.0,C,"Citigroup, Inc.",Citigroup Inc.,Financial Services,Banks - Diversified,-23.09467999959336,2022,0.0
23217.0,CAG,"ConAgra Brands, Inc.","Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,3.286625708051183,2022,-0.8503283262252808
1047862.0,ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,27.52169636220736,2022,-0.2042824327945709
811156.0,CMS,CMS Energy Corporation,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,9.8315496617732,2022,-0.3942840099334717
711404.0,COO,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,-15.570823865711214,2022,-0.9156752824783324
24545.0,TAP,Molson Coors Beverage Company,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,8.008351798444856,2022,-0.6906618475914001
24741.0,GLW,Corning Incorporated,Corning Incorporated,Technology,Electronic Components,-10.065469408067084,2022,-0.5913299918174744
26172.0,CMI,Cummins Inc.,Cummins Inc.,Industrials,Specialty Industrial Machinery,-7.983530761831559,2022,0.0886215418577194
313616.0,DHR,Danaher Corporation,Danaher Corporation,Healthcare,Diagnostics & Research,-1.4777316796868445,2022,-0.395189106464386
27419.0,TGT,Target Corporation,Target Corporation,Consumer Defensive,Discount Stores,-18.481089915424075,2022,-0.8756715655326843
315189.0,DE,Deere & Company,Deere & Company,Industrials,Farm & Heavy Construction Machinery,8.218100311737263,2022,-0.7149428725242615
27904.0,DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Industrials,Airlines,-17.200562553735633,2022,-0.6828449964523315
936340.0,DTE,DTE Energy Company,DTE Energy Company,Utilities,Utilities - Regulated Electric,12.222295757057356,2022,-0.4439796805381775
1744489.0,DIS,Walt Disney Company (The),The Walt Disney Company,Communication Services,Entertainment,-34.945710234919616,2022,-0.8810772895812988
29534.0,DG,Dollar General Corporation,Dollar General Corporation,Consumer Defensive,Discount Stores,10.787178893248472,2022,-0.7368135452270508
715957.0,D,"Dominion Energy, Inc.","Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,5.02494458562317,2022,-0.1416288763284683
29905.0,DOV,Dover Corporation,Dover Corporation,Industrials,Specialty Industrial Machinery,-7.40348525517045,2022,-0.3413073420524597
1666700.0,DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,-12.532811086198391,2022,-0.0111934766173362
29989.0,OMC,Omnicom Group Inc.,Omnicom Group Inc.,Communication Services,Advertising Agencies,3.946328391770648,2022,-0.8328436613082886
1326160.0,DUK,Duke Energy Corporation (Holdin,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,9.061163861085507,2022,-0.2158733606338501
31791.0,RVTY,"Revvity, Inc.","Revvity, Inc.",Healthcare,Diagnostics & Research,-5.306918232968194,2022,-0.914120316505432
