Date,S&P500,MEDCPIM158SFRBCLE,EFFR,FinBERT_Score
2023-02-01,4119.21,7.155556624,4.57,-0.479101
2023-03-01,3951.39,4.699737448,4.65,-0.479101
2023-04-01,4124.51,5.671254241,4.83,-0.479101
2023-05-01,4167.87,4.807998231,5.05,-0.479101
2023-06-01,4221.02,4.699110525,5.08,-0.479101
2023-07-01,4455.59,3.228607938,5.12,-0.479101
2023-08-01,4576.73,4.207969057,5.33,-0.479101
2023-09-01,4515.77,4.838967566,5.33,-0.479101
2023-10-01,4288.39,4.165762953,5.33,-0.479101
2023-11-01,4237.86,5.535063841,5.33,-0.479101
2023-12-01,4594.63,4.187930843,5.33,-0.479101
